SYMBOL,NAME_OF_COMPANY,SERIES,DATE_OF_LISTING,PAID_UP_VALUE,ISIN_NUMBER,FACE_VALUE,
SIMCA,Simca Advertising Limited,ST,15-May-26,10,INE1K4J01018,10,
VALUE360,Value 360 Communications Limited,ST,11-May-26,10,INE1E7Y01018,10,
AMBAAUTO,Amba Auto Sales and Services Limited,ST,05-May-26,10,INE293601014,10,
ADISOFT,Adisoft Technologies Limited,SM,30-Apr-26,10,INE20PL01012,10,
VIVIDEL,Vivid Electromech Limited,SM,07-Apr-26,10,INE24H301028,10,
APSISAERO,Apsis Aerocom Limited,ST,18-Mar-26,10,INE1OOJ01011,10,
SPCON,Srinibas Pradhan Constructions Limited,SM,13-Mar-26,10,INE0TPJ01019,10,
ACETEC,Acetech E-Commerce Limited,SM,09-Mar-26,10,INE1J6M01010,10,
STRIDERS,Striders Impex Limited,SM,06-Mar-26,10,INE1XWN01017,10,
YAAP,Yaap Digital Limited,ST,05-Mar-26,10,INE0U0J01015,10,
MOBILISE,Mobilise App Lab Limited,ST,02-Mar-26,10,INE1YNB01019,10,
MANILAM,Manilam Industries India Limited,SM,27-Feb-26,10,INE1ERK01013,10,
MARUSHIKA,Marushika Technology Limited,SM,19-Feb-26,10,INE0X7G01013,10,
BIOPOL,Biopol Chemicals Limited,SM,13-Feb-26,10,INE0XW001014,10,
BRANDMAN,Brandman Retail Limited,ST,11-Feb-26,10,INE0XUD01014,10,
GJL,Grover Jewells Limited,ST,11-Feb-26,10,INE1TY801010,10,
CKKRETAIL,C K K Retail Mart Limited,ST,06-Feb-26,10,INE0SMX01019,10,
KRMAYURVED,KRM Ayurveda Limited,ST,29-Jan-26,10,INE1MTV01019,10,
ARMOUR,Armour Security (India) Limited,SM,22-Jan-26,10,INE0TZX01019,10,
AVANA,Avana Electrosystems Limited,ST,20-Jan-26,10,INE1KU201016,10,
VICTORYEV,Victory Electric Vehicles International Limited,SM,14-Jan-26,5,INE0F8901022,5,
E2ERAIL,E To E Transportation Infrastructure Limited,ST,02-Jan-26,10,INE1CEJ01017,10,
DHARARAIL,Dhara Rail Projects Limited,SM,31-Dec-25,10,INE2HJL01019,10,
SHYAMDHANI,Shyam Dhani Industries Limited,SM,30-Dec-25,10,INE1CRP01016,10,
EPWINDIA,EPW India Limited,ST,30-Dec-25,5,INE1KEC01023,5,
SOCL,Sundrex Oil Company Limited,ST,30-Dec-25,10,INE0CTB01014,10,
MARC,Marc Technocrats Limited,ST,24-Dec-25,10,INE0TD401015,10,
EXIMROUTES,Exim Routes Limited,SM,19-Dec-25,5,INE19I001020,5,
