SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
ABSLFTTIDG,Aditya Birla Sun Life FTP- Series TI (1837 days)- DP-G,MF,06-JUL-2021,10,1,INF209KB12A2,10
ABSLFTTIDN,Aditya Birla Sun Life FTP- Series TI (1837 days)-DP-IDCW,MF,06-JUL-2021,10,1,INF209KB13A0,10
ABSLFTTIRG,Aditya Birla Sun Life FTP- Series TI (1837 days)-RP-G,MF,06-JUL-2021,10,1,INF209KB10A6,10
ABSLFTTIRN,Aditya Birla Sun Life FTP- Series TI (1837 days)-RP-IDCW,MF,06-JUL-2021,10,1,INF209KB11A4,10
ABSLFTTJDG,Aditya Birla Sun Life FTP - Series TJ (1838 days)-DP-G,MF,26-JUL-2021,10,1,INF209KB16A3,10
ABSLFTTJDN,Aditya Birla Sun Life FTP - Series TJ (1838 days)-DP-IDCW,MF,26-JUL-2021,10,1,INF209KB17A1,10
ABSLFTTJRG,Aditya Birla Sun Life FTP - Series TJ (1838 days)-RP-G,MF,26-JUL-2021,10,1,INF209KB14A8,10
ABSLFTTJRN,Aditya Birla Sun Life FTP- Series TJ (1838 days)-RP-IDCW,MF,26-JUL-2021,10,1,INF209KB15A5,10
ABSLFTTQDG,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-DP-G,MF,31-MAR-2022,10,1,INF209KB14H3,10
ABSLFTTQDN,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-DP-IDCW,MF,31-MAR-2022,10,1,INF209KB15H0,10
ABSLFTTQRG,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-RP-G,MF,31-MAR-2022,10,1,INF209KB12H7,10
ABSLFTTQRN,Aditya Birla Sun Life Mutual Fund - ABSL FTP Sr TQ 1879 days-RP-IDCW,MF,31-MAR-2022,10,1,INF209KB13H5,10
BPF01D1D,Baroda BNP Paribas Credit Risk Fund SG1 Direct Monthly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IW0,10
BPF01D1R,Baroda BNP Paribas Credit Risk Fund SG1 Direct Monthly IDCW Reinvt,MF,23-MAR-2020,1,1,INF955L01IX8,10
BPF01D2G,Baroda BNP Paribas Credit Risk Fund SG1 Direct Growth,MF,23-MAR-2020,1,1,INF955L01IT6,10
BPF01D3D,Baroda BNP Paribas Credit Risk Fund SG1 Direct Quarterly IDCW Payout,MF,23-MAR-2020,1,1,INF955L01IU4,10
